,Latitude,Longitude,School Name,School Address,School Rating
65,30.203132,-97.85215,Boone Elementary School,"8101 Croftwood Drive, Austin, TX  78749",8
66,30.105269,-97.679548,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
67,30.460506,-97.64203,Windermere Elementary School,"1101 Picadilly Drive, Pflugerville, TX  78660",7
68,30.330992,-97.97825,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8
69,30.377924,-97.702183,Cook Elementary School,"1511 Cripple Creek Drive, Austin, TX  78758",5
70,30.483423,-97.882794,Deer Creek Elementary School,"2420 Zeppelin Drive, Cedar Park, TX  78613",9
71,30.406633,-97.695707,River Oaks Elementary School,"12401 Scofield Farms Drive, Austin, TX  78758",5
72,30.188366,-97.79844,Williams Elementary School,"500 Mairo Street, Austin, TX  78748",4
73,30.359757,-97.977363,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8
74,30.490701,-97.705277,Deep Wood Elementary School,"705 Saint Williams Avenue, Round Rock, TX  78681",6
75,30.233019,-97.894034,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9
76,30.199179,-97.803962,Cunningham Elementary School,"2200 Berkeley Avenue, Austin, TX  78745",2
77,30.361849,-97.54993,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5
78,30.379642,-97.757069,Hill Elementary School,"8601 Tallwood Drive, Austin, TX  78759",8
79,30.328223,-97.507707,Presidential Meadows Elementary School,"13252 George Bush Street, Manor, TX  78653",2
80,30.063327,-97.714443,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
81,30.423237,-97.641259,Wieland Elementary School,"900 Tudor House Road, Pflugerville, TX  78660",4
82,30.236453,-98.004138,Dripping Springs Elementary School,"29400 Ranch Rd 12, Dripping Springs, TX 78620",7
83,30.439805,-97.676659,Northwest Elementary School,"14014 Thermal Drive, Austin, TX  78728",3
84,30.247939,-97.991176,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8
85,30.138627,-97.725617,Hillcrest Elementary School,"6910 East William Cannon Drive, Austin, TX  78744",2
86,30.101807,-97.679032,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
87,30.346984,-97.465034,Neidig Elementary School,"13700 County Line Road, Elgin, TX  78621",2
88,30.340269,-97.607802,Bluebonnet Trail Elementary School,"11316 Farmhaven Road, Austin, TX  78754",6
89,30.114289,-97.627506,Popham Elementary School,"7014 Elroy Road, Austin, TX  78617",3
90,30.372079,-97.87796,Steiner Ranch Elementary School,"4001 North Quinlan Park Road, Austin, TX  78732",9
91,30.368717,-97.960113,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7
92,30.36624,-97.670015,Graham Elementary School,"11211 Tom Adams Drive, Austin, TX  78753",8
93,30.241795,-97.763891,Dawson Elementary School,"3001 South 1st Street, Austin, TX  78704",6
94,30.179531,-97.918222,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8
95,30.45174,-97.76841,Live Oak Elementary School,"8607 Anderson Mill Road, Austin, TX  78729",6
96,30.192974,-97.94134,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8
97,30.547307,-97.733272,Chandler Oaks Elementary School,"3800 Stone Oak Drive, Round Rock, TX  78681",9
98,30.09334,-97.682424,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
99,30.335784,-97.963851,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9
100,30.413898,-97.757756,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8
101,30.418081,-97.944796,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7
102,30.372774,-97.653121,Graham Elementary School,"11211 Tom Adams Drive, Austin, TX  78753",8
103,30.466063,-97.761643,Hornsby-Dunlap Elementary School,"13901 North FM 620, Austin, TX  78717",3
104,30.419921,-97.755832,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8
105,30.341566,-97.90929,River Ridge Elementary School,"12900 Tierra Grande Trail, Austin, TX  78732",10
106,30.438328,-97.810442,Spicewood Elementary School,"11601 Olson Drive, Austin, TX  78750",10
107,30.116346,-97.67958,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
108,30.132658,-97.593266,Del Valle Elementary School,"5400 Ross Road, Travis County, TX  78617",3
109,30.325122,-97.528921,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4
110,30.495069,-97.769043,Elsa England Elementary School,"8801 Pearson Ranch Road, Austin, TX  78717",10
111,30.29937,-97.640539,Overton Elementary School,"7201 Colony Loop Drive, Austin, TX  78724",4
112,30.3375,-97.742008,Gullett Elementary School,"6310 Treadwell Boulevard, Austin, TX  78757",10
113,30.062951,-97.756852,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
114,30.421674,-97.758291,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8
115,30.079349,-97.751428,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
116,30.236226,-97.760744,Dawson Elementary School,"3001 South 1st Street, Austin, TX  78704",6
