,Latitude,Longitude,School Name,School Address,School Rating
74,30.282402,-97.945958,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
75,30.184403,-97.785155,Crockett High School,"5601 Manchaca Road, Austin, TX  78745",4
76,30.231678,-97.857658,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
77,30.147446,-97.823036,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
78,30.438567,-97.796297,Westwood High School,"12400 Mellow Meadow Drive, Austin, TX  78750",9
79,30.303791,-97.718062,Dell Children's Medical Center,,
80,30.215035,-97.813035,Crockett High School,"5601 Manchaca Road, Austin, TX  78745",4
81,30.353934,-97.73959,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
82,30.323143,-97.753678,Rosedale,(512) 414-3617,5
83,30.345855,-97.979792,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
84,30.431536,-97.662422,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
85,30.051538,-97.689049,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
86,30.254568,-97.478883,Manor Excel Academy,(512) 278-4851,3
87,30.477729,-97.826763,Cedar Park High School,"2150 Cypress Creek Road, Cedar Park, TX  78613",8
88,30.24881,-97.740486,Texas School For The Deaf,"1102 South Congress Avenue, Austin, TX  78704",1
89,30.330356,-97.763243,Rosedale,(512) 414-3617,5
90,30.375303,-97.808004,Vandegrift High School,"9500 McNeil Drive, Austin, TX  78750",8
91,30.209497,-97.866822,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
92,30.361397,-97.753399,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
93,30.293857,-97.682854,Dell Children's Medical Center,,
94,30.458815,-97.685832,Success High School,(512) 428-7196,2
95,30.427353,-97.451953,Elgin High School,"14000 County Line Road, Elgin, TX  78621",4
96,30.127197,-97.684504,Del Valle Opportunity Center,(512) 386-3300,4
97,30.273661,-97.647905,Travis County State Jail,www.wsdtx.org,
98,30.350071,-97.843439,Vandegrift High School,"9500 McNeil Drive, Austin, TX  78750",8
99,30.449572,-97.806362,Westwood High School,"12400 Mellow Meadow Drive, Austin, TX  78750",9
100,30.376306,-97.708968,Lanier High School,"1201 Payton Gin Road, Austin, TX  78758",3
101,30.23414,-97.769563,Leadership Academy,(512) 476-2809,
102,30.320067,-97.839821,Westlake Alternative School,,
103,30.301255,-97.502406,Manor Excel Academy,(512) 278-4851,3
104,30.523756,-97.697907,Round Rock High School,"201 Deep Wood Drive, Round Rock, TX  78681",8
105,30.204679,-97.840945,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
106,30.397668,-97.779081,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
107,30.448904,-97.676073,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
108,30.421677,-97.627096,Pflugerville High School,"1301 West Pecan Street, Pflugerville, TX  78660",6
109,30.168017,-97.796358,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
110,30.253344,-97.717558,Alternative Learning Center,(512) 414-2554,5
111,30.232658,-97.710263,Travis High School,"1211 East Oltorf Street, Austin, TX  78704",3
112,30.133633,-97.778672,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
113,30.271312,-97.473708,Manor Excel Academy,(512) 278-4851,3
114,30.23929,-97.994803,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
115,30.272244,-97.819795,Westlake High School,"4100 Westbank Drive, Austin, TX  78746",9
116,30.351247,-98.013776,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
117,30.356114,-97.4992,Manor Excel Academy,(512) 278-4851,3
118,30.385743,-97.6915,Lanier High School,"1201 Payton Gin Road, Austin, TX  78758",3
119,30.215228,-97.885811,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
120,30.4339,-97.788073,Westwood High School,"12400 Mellow Meadow Drive, Austin, TX  78750",9
121,30.487964,-97.733062,Round Rock High School,"201 Deep Wood Drive, Round Rock, TX  78681",8
122,30.421864,-97.640097,Pflugerville High School,"1301 West Pecan Street, Pflugerville, TX  78660",6
123,30.24187,-97.743861,Travis High School,"1211 East Oltorf Street, Austin, TX  78704",3
124,30.154464,-97.840736,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
125,30.418739,-97.945715,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
126,30.314675,-97.843684,Westlake Alternative School,,
127,30.163817,-97.86284,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
128,30.400669,-97.69309,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
129,30.500273,-97.636299,Cedar Ridge High School,"2801 Gattis School Road, Round Rock, TX  78664",6
130,30.293291,-97.746163,University of Texas at Austin High School,(512) 232-5000,4
131,30.303151,-97.7637,Texas School For The Blind,"1100 West 45th Street, Austin, TX  78756",1
132,30.255462,-97.699026,International High School,(512) 414-6817,3
133,30.356564,-97.724754,Lanier High School,"1201 Payton Gin Road, Austin, TX  78758",3
134,30.290802,-97.672711,Lbj High School,"7309 Lazy Creek Drive, Austin, TX  78724",2
135,30.365362,-97.962341,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
136,30.35882,-97.906896,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
137,30.277603,-97.836696,Westlake Alternative School,,
138,30.184308,-97.83431,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
139,30.543355,-97.823424,Leander High School,"3301 South Bagdad Road, Leander, TX  78641",7
140,30.430277,-97.638353,Pflugerville High School,"1301 West Pecan Street, Pflugerville, TX  78660",6
141,30.377744,-97.970826,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
142,30.352152,-97.533649,Manor Excel Academy,(512) 278-4851,3
143,30.396129,-97.771825,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
144,30.28547,-97.756203,Austin St Hospital,(512) 419-2560,
145,30.534674,-97.646204,Stony Point High School,"1801 Tiger Trail, Round Rock, TX  78664",6
146,30.170572,-97.861948,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
147,30.389741,-98.002351,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
148,30.371603,-97.728327,Lanier High School,"1201 Payton Gin Road, Austin, TX  78758",3
149,30.32657,-97.873522,Westlake Alternative School,,
150,30.333364,-97.99066,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
151,30.425447,-97.706542,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
152,30.294829,-97.844835,Westlake Alternative School,,
153,30.134281,-97.817458,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
154,30.220823,-97.910629,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
155,30.339626,-97.797629,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
156,30.54623,-97.835839,Leander High School,"3301 South Bagdad Road, Leander, TX  78641",7
157,30.504668,-97.805612,Vista Ridge High School,"200 South Vista Ridge Boulevard, Cedar Park, TX  78613",8
158,30.226727,-97.74206,Travis High School,"1211 East Oltorf Street, Austin, TX  78704",3
159,30.306837,-97.982822,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
160,30.329171,-98.001121,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
161,30.505496,-97.911028,Leander High School,"3301 South Bagdad Road, Leander, TX  78641",7
162,30.196086,-97.793033,Crockett High School,"5601 Manchaca Road, Austin, TX  78745",4
163,30.293877,-97.875368,Westlake Alternative School,,
164,30.41636,-97.900652,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
165,30.302209,-97.798588,Westlake Alternative School,,
166,30.372492,-97.898889,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
167,30.233434,-97.9875,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
168,30.422109,-97.658841,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
169,30.313582,-97.715926,Dell Children's Medical Center,,
170,30.121327,-97.642002,Del Valle Opportunity Center,(512) 386-3300,4
171,30.478181,-97.611017,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
172,30.225285,-97.846558,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
173,30.243836,-97.934363,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
174,30.180144,-97.638834,Del Valle Opportunity Center,(512) 386-3300,4
175,30.448957,-97.568048,Weiss High S,,
176,30.319397,-97.842823,Westlake Alternative School,,
177,30.336268,-97.8016,Rosedale,(512) 414-3617,5
178,30.327065,-97.823631,Westlake Alternative School,,
179,30.308755,-97.773944,Texas School For The Blind,"1100 West 45th Street, Austin, TX  78756",1
180,30.316599,-97.678275,Reagan High School,"7104 Berkman Drive, Austin, TX  78752",3
181,30.303541,-97.777861,Austin High School,"1715 West Cesar Chavez Street, Austin, TX  78703",7
182,30.180589,-97.814659,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
183,30.447547,-97.946097,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
184,30.314714,-97.529007,Manor Excel Academy,(512) 278-4851,3
185,30.343083,-97.817398,Vandegrift High School,"9500 McNeil Drive, Austin, TX  78750",8
186,30.332233,-97.849509,Westlake Alternative School,,
187,30.187644,-97.906611,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
188,30.348376,-97.903118,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
189,30.37484,-97.74878,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
190,30.179943,-97.920535,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
191,30.301299,-97.683152,Dell Children's Medical Center,,
192,30.469515,-97.829935,Cedar Park High School,"2150 Cypress Creek Road, Cedar Park, TX  78613",8
193,30.31995,-97.848502,Westlake Alternative School,,
194,30.181934,-97.828677,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
195,30.459725,-97.584931,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
196,30.277587,-97.677079,International High School,(512) 414-6817,3
197,30.294731,-97.516894,Manor Excel Academy,(512) 278-4851,3
198,30.27814,-97.878293,Westlake Alternative School,,
199,30.510729,-97.602303,Cedar Ridge High School,"2801 Gattis School Road, Round Rock, TX  78664",6
200,30.282785,-97.744429,University of Texas at Austin High School,(512) 232-5000,4
201,30.277572,-97.787332,Adult Transition Services,(512) 732-9029,
202,30.226624,-97.881135,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
203,30.389117,-98.002933,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
204,30.157217,-97.842394,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
205,30.417197,-97.761023,Mcneil High School,"5720 McNeil Drive, Austin, TX  78729",7
206,30.204538,-97.915277,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
207,30.505193,-97.827689,Cedar Park High School,"2150 Cypress Creek Road, Cedar Park, TX  78613",8
208,30.369465,-97.973365,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
209,30.342237,-97.979748,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
210,30.367643,-97.520099,Manor Excel Academy,(512) 278-4851,3
211,30.386,-98.00591,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
212,30.346885,-97.746055,Mccallum High School,"5600 Sunshine Drive, Austin, TX  78756",7
213,30.288762,-97.768693,Austin High School,"1715 West Cesar Chavez Street, Austin, TX  78703",7
214,30.37043,-97.516061,Manor Excel Academy,(512) 278-4851,3
