Unnamed: 0,Latitude,Longitude,School Name,School Address,School Rating,zipcode
3081,30.161465999999997,-97.835957,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78749
3084,30.244024,-97.90020799999999,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3086,30.274292,-97.809066,Westlake High School,"4100 Westbank Drive, Austin, TX  78746",9.0,78746
3087,30.439667,-97.767685,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX  78729",6.0,78750
3088,30.161346999999996,-97.77911800000001,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78748
3089,30.441554999999997,-97.680077,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4.0,78753
3090,30.387788,-97.518898,Manor Middle School,"12900 Gregg Manor Road, Manor, TX  78653",2.0,78653
3091,30.548357,-97.82208100000001,Knox Wiley Middle School,"1526 Raider Way, Leander, TX  78641",8.0,78641
3092,30.235826,-97.786934,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9.0,78704
3093,30.342545,-97.869555,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX  78732",10.0,78750
3094,30.335864,-97.930201,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
3095,30.436459000000003,-97.630421,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6.0,78660
3096,30.477608,-97.633354,Ridgeview Middle School,"2000 Via Sonoma Trail, Round Rock, TX  78665",9.0,78664
3097,30.337704,-97.847718,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX  78733",10.0,78750
3100,30.388001000000003,-97.69990200000001,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4.0,78758
3101,30.201564,-97.826178,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5.0,78745
3107,30.477746999999997,-97.575779,Kelly Lane Middle School,"18900 Falcon Pointe Boulevard, Pflugerville, TX  78660",7.0,78660
3110,30.292751000000003,-97.774901,O Henry Middle School,"2610 West 10th Street, Austin, TX  78703",6.0,78703
3111,30.176090000000002,-97.804298,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78748
3112,30.455681,-97.809997,Noel Grisham Middle School,"10805 School House Lane, Austin, TX  78750",7.0,78750
3113,30.169154,-97.749502,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1.0,78748
3115,30.528018,-97.61505,Ridgeview Middle School,"2000 Via Sonoma Trail, Round Rock, TX  78665",9.0,78664
3116,30.210615,-97.81308,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5.0,78745
3117,30.500041999999997,-97.88322600000001,Running Brushy Middle School,"2303 Lakeline Boulevard, Cedar Park, TX  78613",6.0,78613
3118,30.342087,-97.722482,Lamar Middle School,"6201 Wynona Avenue, Austin, TX  78757",7.0,78756
3119,30.224446999999998,-97.886815,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3124,30.305109,-97.770451,O Henry Middle School,"2610 West 10th Street, Austin, TX  78703",6.0,78756
3125,30.508653000000002,-97.894627,Running Brushy Middle School,"2303 Lakeline Boulevard, Cedar Park, TX  78613",6.0,78641
3127,30.390584999999998,-97.687015,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4.0,78753
3128,30.199879,-97.78751,Bedichek Middle School,"6800 Bill Hughes Road, Austin, TX  78745",2.0,78745
3129,30.372481,-97.73206,Burnet Middle School,"8401 Hathaway Drive, Austin, TX  78757",2.0,78759
3130,30.305159000000003,-97.672724,Sadler Means Ywla,(512) 414-3234,2.0,78724
3135,30.474384000000004,-97.536475,Cele Middle,"6000 Cele Rd, Pflugerville, TX 78660",7.0,78660
3136,30.219651000000002,-97.850444,Small Middle School,"4801 Monterey Oaks Boulevard, Austin, TX  78749",5.0,78749
3137,30.4521,-97.753088,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX  78729",6.0,78729
3138,30.155265999999997,-97.81352700000001,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78748
3139,30.456509999999998,-97.822175,Noel Grisham Middle School,"10805 School House Lane, Austin, TX  78750",7.0,78750
3141,30.203721999999996,-97.765935,Bedichek Middle School,"6800 Bill Hughes Road, Austin, TX  78745",2.0,78745
3142,30.346536999999998,-97.870793,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX  78732",10.0,78750
3146,30.295372999999998,-97.760216,O Henry Middle School,"2610 West 10th Street, Austin, TX  78703",6.0,78703
3147,30.17553,-97.83239300000001,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78749
3148,30.239565000000002,-97.99622099999999,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
3149,30.052221999999997,-97.693717,Armando Chapa Middle School,"3311 Dacy Lane, Kyle, TX  78640",3.0,78748
3151,30.422217,-97.641367,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6.0,78660
3152,30.353207,-97.78806,Murchison Middle School,"3700 North Hills Drive, Austin, TX  78731",7.0,78759
3153,30.432584999999996,-97.62265500000001,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6.0,78660
3154,30.233733,-97.59321800000001,Dailey Middle School,"14000 Westall Street, Austin, TX  78725",3.0,78617
3155,30.428812,-97.817451,Canyon Vista Middle School,"8455 Spicewood Springs Road, Austin, TX  78759",10.0,78750
3156,30.151533,-97.81824300000001,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78748
3157,30.335788,-97.932668,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
3160,30.521262,-97.839727,Running Brushy Middle School,"2303 Lakeline Boulevard, Cedar Park, TX  78613",6.0,78641
3161,30.367815000000004,-97.781299,Murchison Middle School,"3700 North Hills Drive, Austin, TX  78731",7.0,78759
3163,30.3719,-97.734701,Burnet Middle School,"8401 Hathaway Drive, Austin, TX  78757",2.0,78759
3166,30.374383,-97.841688,Four Points Middle School,"9700 McNeil Drive, Austin, TX  78750",9.0,78750
3169,30.210656,-97.540886,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4.0,78617
3170,30.238546999999997,-97.884501,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3171,30.181279999999997,-97.828476,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78749
3173,30.321388,-97.99033,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
3180,30.175765999999996,-97.79480600000001,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78748
3183,30.1701,-97.486001,Cedar Creek Middle School,"125 Voss Parkway, Cedar Creek, TX  78612",5.0,78612
3184,30.134456,-97.75574399999999,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1.0,78748
3189,30.504895,-97.900677,Running Brushy Middle School,"2303 Lakeline Boulevard, Cedar Park, TX  78613",6.0,78641
3190,30.3569,-97.85038399999999,Four Points Middle School,"9700 McNeil Drive, Austin, TX  78750",9.0,78750
3191,30.499565000000004,-97.591033,Ridgeview Middle School,"2000 Via Sonoma Trail, Round Rock, TX  78665",9.0,78660
3192,30.161773999999998,-97.87236999999999,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX  78739",6.0,78749
3193,30.354121999999997,-98.008392,Lake Travis Middle School,"4932 Bee Creek Road, Spicewood, TX  78669",9.0,78738
3197,30.251052,-97.777364,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9.0,78704
3200,30.194265,-97.816427,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5.0,78745
3201,30.487471000000003,-97.857678,Cedar Park Middle School,"2100 Sun Chase Boulevard, Cedar Park, TX  78613",9.0,78613
3203,30.163981,-97.82172800000001,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78748
3204,30.438814,-97.655952,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6.0,78660
3205,30.202728999999998,-97.929457,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3208,30.314117,-97.669563,Sadler Means Ywla,(512) 414-3234,2.0,78724
3209,30.482427,-97.556506,Cele Middle,"6000 Cele Rd, Pflugerville, TX 78660",7.0,78660
3210,30.374493,-97.706992,Burnet Middle School,"8401 Hathaway Drive, Austin, TX  78757",2.0,78758
3211,30.313209999999998,-97.768573,Texas School For The Blind,"1100 West 45th Street, Austin, TX  78756",1.0,78756
3212,30.433304999999997,-97.662962,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6.0,78753
3213,30.447823,-97.77920300000001,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX  78729",6.0,78750
3214,30.394256,-97.483447,Manor Middle School,"12900 Gregg Manor Road, Manor, TX  78653",2.0,78621
3215,30.389459999999996,-97.661087,Dessau Middle School,"12900 Dessau Road, Austin, TX  78754",3.0,78753
3217,30.201889,-97.85409200000001,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5.0,78749
3220,30.221075,-97.77807,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9.0,78704
3221,30.504577,-97.728093,Cedar Valley Middle School,"8139 Racine Trail, Austin, TX  78717",10.0,78681
3225,30.238759,-97.992337,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78738
3227,30.472395000000002,-97.608643,Park Crest Middle School,"1500 North Railroad Avenue, Pflugerville, TX  78660",7.0,78660
3228,30.309213,-97.900644,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX  78733",10.0,78738
3229,30.219419,-97.893392,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3230,30.527704999999997,-97.645604,Pfc Robert P Hernandez Middle School,"1901 Sunrise Road, Round Rock, TX  78664",3.0,78664
3231,30.123471999999996,-97.735564,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1.0,78748
3232,30.123889000000002,-97.74062099999999,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1.0,78748
3235,30.443186999999998,-97.827339,Noel Grisham Middle School,"10805 School House Lane, Austin, TX  78750",7.0,78750
3236,30.199538,-97.851385,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5.0,78749
3237,30.217290000000002,-97.824804,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5.0,78745
3238,30.209163,-97.801286,Bedichek Middle School,"6800 Bill Hughes Road, Austin, TX  78745",2.0,78745
3239,30.498828000000003,-97.787914,Artie L Henry Middle School,"100 North Vista Ridge Boulevard, Cedar Park, TX  78613",8.0,78613
3240,30.180179,-97.825029,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78749
3242,30.342056,-97.91886099999999,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX  78732",10.0,78738
3244,30.343785999999998,-97.81890600000001,Murchison Middle School,"3700 North Hills Drive, Austin, TX  78731",7.0,78750
3247,30.38332,-97.762598,Murchison Middle School,"3700 North Hills Drive, Austin, TX  78731",7.0,78759
3250,30.433746999999997,-97.873512,Cedar Park Middle School,"2100 Sun Chase Boulevard, Cedar Park, TX  78613",9.0,78613
3251,30.306371999999996,-97.75738100000001,Texas School For The Blind,"1100 West 45th Street, Austin, TX  78756",1.0,78756
3252,30.331829,-97.926281,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
3253,30.212322999999998,-97.848221,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5.0,78749
