,Latitude,Longitude,School Name,School Address,School Rating
67,30.460506,-97.64203,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6
68,30.330992,-97.97825,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
69,30.377924,-97.702183,Burnet Middle School,"8401 Hathaway Drive, Austin, TX  78757",2
70,30.483423,-97.882794,Cedar Park Middle School,"2100 Sun Chase Boulevard, Cedar Park, TX  78613",9
71,30.406633,-97.695707,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4
72,30.188366,-97.79844,Bedichek Middle School,"6800 Bill Hughes Road, Austin, TX  78745",2
73,30.359757,-97.977363,Lago Vista Middle School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",5
74,30.490701,-97.705277,Chisholm Trail Middle School,"500 Oakridge Drive, Round Rock, TX  78681",7
75,30.233019,-97.894034,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
76,30.199179,-97.803962,Bedichek Middle School,"6800 Bill Hughes Road, Austin, TX  78745",2
77,30.361849,-97.54993,Manor Middle School,"12900 Gregg Manor Road, Manor, TX  78653",2
78,30.379642,-97.757069,Murchison Middle School,"3700 North Hills Drive, Austin, TX  78731",7
79,30.328223,-97.507707,Manor Middle School,"12900 Gregg Manor Road, Manor, TX  78653",2
80,30.063327,-97.714443,Armando Chapa Middle School,"3311 Dacy Lane, Kyle, TX  78640",3
81,30.423237,-97.641259,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6
82,30.236453,-98.004138,Dripping Springs Middle School,"111 Tiger Ln, Dripping Springs, TX 78620",8
83,30.439805,-97.676659,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4
84,30.247939,-97.991176,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
85,30.138627,-97.725617,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1
86,30.101807,-97.679032,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
87,30.346984,-97.465034,Manor Middle School,"12900 Gregg Manor Road, Manor, TX  78653",2
88,30.340269,-97.607802,Manor New Technology Middle,mntms.manorisd.net/,
89,30.114289,-97.627506,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
90,30.372079,-97.87796,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX  78732",10
91,30.368717,-97.960113,Lago Vista Middle School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",5
92,30.36624,-97.670015,Dobie Middle School,"1200 East Rundberg Lane, Austin, TX  78753",3
93,30.241795,-97.763891,Phoenix Academy,(512) 440-0235,
94,30.179531,-97.918222,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
95,30.45174,-97.76841,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX  78729",6
96,30.192974,-97.94134,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
97,30.547307,-97.733272,James Garland Walsh Middle School,"3850 Walsh Ranch Boulevard, Round Rock, TX  78681",10
98,30.09334,-97.682424,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
99,30.335784,-97.963851,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
100,30.413898,-97.757756,Canyon Vista Middle School,"8455 Spicewood Springs Road, Austin, TX  78759",10
101,30.418081,-97.944796,Lago Vista Middle School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",5
102,30.372774,-97.653121,Dessau Middle School,"12900 Dessau Road, Austin, TX  78754",3
103,30.466063,-97.761643,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX  78729",6
104,30.419921,-97.755832,Canyon Vista Middle School,"8455 Spicewood Springs Road, Austin, TX  78759",10
105,30.341566,-97.90929,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX  78732",10
106,30.438328,-97.810442,Noel Grisham Middle School,"10805 School House Lane, Austin, TX  78750",7
107,30.116346,-97.67958,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
108,30.132658,-97.593266,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
109,30.325122,-97.528921,Manor Middle School,"12900 Gregg Manor Road, Manor, TX  78653",2
110,30.495069,-97.769043,Pearson Ranch Middle,,
111,30.29937,-97.640539,Garcia Ymla,(512) 841-9400,3
112,30.3375,-97.742008,Lamar Middle School,"6201 Wynona Avenue, Austin, TX  78757",7
113,30.062951,-97.756852,Armando Chapa Middle School,"3311 Dacy Lane, Kyle, TX  78640",3
114,30.421674,-97.758291,Canyon Vista Middle School,"8455 Spicewood Springs Road, Austin, TX  78759",10
115,30.079349,-97.751428,Armando Chapa Middle School,"3311 Dacy Lane, Kyle, TX  78640",3
116,30.236226,-97.760744,Leadership Academy,(512) 476-2809,
117,30.106782,-97.728461,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1
118,30.427832,-97.892225,Four Points Middle School,"9700 McNeil Drive, Austin, TX  78750",9
119,30.465385,-97.571644,Kelly Lane Middle School,"18900 Falcon Pointe Boulevard, Pflugerville, TX  78660",7
120,30.176059,-97.839972,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4
121,30.336266,-97.562819,Manor New Technology Middle,mntms.manorisd.net/,
122,30.539524,-97.718911,James Garland Walsh Middle School,"3850 Walsh Ranch Boulevard, Round Rock, TX  78681",10
123,30.32148,-97.786464,O Henry Middle School,"2610 West 10th Street, Austin, TX  78703",6
124,30.392492,-97.80279,Four Points Middle School,"9700 McNeil Drive, Austin, TX  78750",9
125,30.417733,-97.665326,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4
126,30.236451,-97.952955,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
127,30.458595,-97.570808,Kelly Lane Middle School,"18900 Falcon Pointe Boulevard, Pflugerville, TX  78660",7
128,30.375583,-97.69379,Dobie Middle School,"1200 East Rundberg Lane, Austin, TX  78753",3
129,30.25122,-97.556973,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
130,30.530979,-97.700458,Goals,(512) 428-7940,
131,30.387624,-97.689416,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4
132,30.389935,-97.685762,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4
133,30.347444,-97.99083,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
134,30.328033,-97.695152,Webb Middle School,"601 East Saint Johns Avenue, Austin, TX  78752",2
135,30.314663,-97.69848,Dell Children's Medical Center,,
136,30.119864,-97.818382,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4
137,30.461658,-97.576933,Kelly Lane Middle School,"18900 Falcon Pointe Boulevard, Pflugerville, TX  78660",7
138,30.474712,-97.575426,Kelly Lane Middle School,"18900 Falcon Pointe Boulevard, Pflugerville, TX  78660",7
139,30.336404,-97.764175,Murchison Middle School,"3700 North Hills Drive, Austin, TX  78731",7
140,30.346496,-97.727407,Lamar Middle School,"6201 Wynona Avenue, Austin, TX  78757",7
141,30.458828,-97.958742,Lago Vista Middle School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",5
142,30.244141,-97.944024,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
143,30.264616,-97.865864,Small Middle School,"4801 Monterey Oaks Boulevard, Austin, TX  78749",5
144,30.312933,-97.531317,Manor New Technology Middle,mntms.manorisd.net/,
